weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,6.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,VEHICLE,10-15FT,UNKNOWN,SITTING,99078
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99082
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99103
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99107
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99110
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99111
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99116
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99117
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99118
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99119
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99129
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99133
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99151
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99153
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99167
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99198
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99206
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99232
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99262
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99300
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99302
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99322
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99325
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99346
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99348
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,99360
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99364
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99396
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99399
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99418
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99432
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,99445
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99445
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,99459
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99472
